,GameName,Description,MetaScore,UserScore,ReleaseYear,Multiplayer,Rating,Developer,Genre,Action,Adventure,Arcade,Fantasy,Fighting,Horror,Open-World,Puzzle,Racing,Role-Playing,Sci-Fi,Shooter,Sports,Strategy,Survival
10,The Elder Scrolls V: Skyrim,"The next chapter in the Elder Scrolls saga arrives from the Bethesda Game Studios. Skyrim reimagines the open-world fantasy epic, bringing to life a complete virtual world open for you to explore any way you choose. Play any type of character you can imagine, and do whatever you want; the legendary freedom of choice, storytelling, and adventure of The Elder Scrolls is realized like never before. Skyrim's new game engine brings to life a complete virtual world with rolling clouds, rugged mountains, bustling cities, lush fields, and ancient dungeons. Choose from hundreds of weapons, spells, and abilities. The new character system allows you to play any way you want and define yourself through your actions. Battle ancient dragons like you've never seen. As Dragonborn, learn their secrets and harness their power for yourself.",94,84,2011,False,M,Bethesda Game Studios,[Role-Playing],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
11,Command & Conquer,"Set in a gritty, high-tech world C&C utilizes electronic intelligence and covert surveillance to determine who reigns supreme. Join the forces of either the Global Defense Initiative (GDI) or the Brotherhood of Nod, and fight for what you feel is right. [Westwood]",94,89,1995,True,T,Westwood Studios,"[Strategy, Sci-Fi]",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
12,Mass Effect 2,"The Mass Effect trilogy is a science fiction adventure set in a vast universe filled with dangerous alien life forms and mysterious uncharted planets. In this dark second chapter, Saren’s evil army of Geth soldiers has just been defeated, and humans, who are still struggling to make their mark on the galactic stage, are now faced with an even greater peril. [BioWare]",94,89,2010,False,M,BioWare,[Role-Playing],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13,Elden Ring,"A New World Created By Hidetaka Miyazaki And George R. R. Martin. ELDEN RING, developed by FromSoftware, Inc. and BANDAI NAMCO Entertainment Inc., is a fantasy action-RPG adventure set within a world created by Hidetaka Miyazaki creator of the influential DARK SOULS video game series; and George R.R. Martin author of The New York Times best-selling fantasy series, A Song of Ice and Fire. Danger and discovery lurk around every corner in FromSoftware's largest game to-date.  Hidetaka Miyazaki, President and Game Director of FromSoftware Inc. Known for directing critically-acclaimed games in beloved franchises including Armored Core, Dark Souls, and Sekiro: Shadows Die Twice.  George R.R. Martin is the #1 New York Times bestselling author of many novels, including the acclaimed series A Song of Ice and Fire - A Game of Thrones, A Clash of Kings, A Storm of Swords, A Feast For Crows, and A Dance with Dragons. As a writer-producer, he has worked on The Twilight Zone, Beauty and the Beast, and various feature films and pilots that were never made.",94,69,2022,True,M,From Software,[Role-Playing],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14,Grand Theft Auto: Vice City,"[Metacritic's 2003 PC Game of the Year] The PC version has enhanced features including improved graphics and sound, additional PC controls, as well as several options for players to customize the game. ""Welcome to Vice City. Welcome to the 1980s."" Having just made it back onto the streets of Liberty City after a long stretch in maximum security, Tommy Vercetti is sent to Vice City by his old boss, Sonny Forelli. They were understandably nervous about his re-appearance in Liberty City, so a trip down south seemed like a good idea. But all does not go smoothly upon his arrival in the glamorous, hedonistic metropolis of Vice City. He's set up and is left with no money and no merchandise. Sonny wants his money back, but the biker gangs, Cuban gangsters, and corrupt politicians stand in his way. Most of Vice City seems to want Tommy dead. His only answer is to fight back and take over the city himself. Vice City offers vehicular pleasures to suit every taste. For the speed enthusiast, there's high-performance cars and motorbikes. For the sportsman, a powerboat or a golf buggy lets you enjoy the great outdoors. For those that need that sense of freedom and escape, why not charter a helicopter and see the beauty of Vice City from the air? [Rockstar]",94,87,2003,False,M,Rockstar North,[Open-World],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
15,Sid Meier's Civilization II,"An empire-building turn-based strategy game. The game starts at the Old Stone Age in 4000 BC. Your tribe begins with a Settlers unit and has no knowledge about the surrounding area. As you found new cities and explore the surroundings, you may find hostile barbarians, villages, and other competing cultures. [Civ Fantatics' Center]",94,88,1996,True,K-A,MPS Labs,[Strategy],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16,Quake,"Rage through 32 single player levels and 6 deathmatch levels of sheer terror and fully immersive sound and lighting. Arm yourself against the cannibalistic Ogre, fiendish Vore and indestructible Schambler using letal nails, fierce Thunderbolts and abominable Rocket and Grenade Launchers. [id Software]",94,88,1996,True,M,id Software,"[Sci-Fi, Shooter, Action, Arcade]",1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
17,BioShock Infinite,"Initially conceived as a floating symbol of American ideals at a time when the United States was emerging as a world power, Columbia is sent to distant shores with great fanfare by a captivated public.  What begins as a fresh new endeavor of hope turns drastically wrong as the city soon disappears into the clouds to whereabouts unknown. The player takes on the role of former Pinkerton agent Booker DeWitt, sent to the lost city to rescue Elizabeth, a young lady imprisoned there since her childhood. He develops a relationship with Elizabeth, enhancing his abilities with hers so the pair may escape from a city that is literally falling from the sky. DeWitt has to learn to fight foes in high-speed Sky-Line battles, engage in combat both indoors and amongst the clouds, and harness the power of a myriad of new weapons and abilities.",94,86,2013,False,M,Irrational Games,"[Sci-Fi, Shooter, Action, Arcade]",1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
18,The Elder Scrolls IV: Oblivion,"Oblivion is a single-player game that takes place in Tamriel's capital province, Cyrodiil. You are given the task of finding the hidden heir to a throne that sits empty, the previous emperor having been killed by an unknown assassin. With no true Emperor, the gates to Oblivion (the equivalent of hell in the world of Tamriel) open, and demons begin to invade Cyrodiil and attack its people and towns. It's up to you to find the lost heir to the throne and unravel the sinister plot that threatens to destroy all of Tamriel. In keeping with the Elder Scrolls tradition, players have the option to experience the main quest at their own pace, and there are plenty of opportunities to explore the vast world and make your own way. Numerous factions can be joined, such as the thieves or mages guilds, and each contains its own complete storyline and the chance to rise to the head of the faction and reap further rewards. Oblivion features a groundbreaking new AI system, called Radiant AI, which gives non-player characters (NPCs) the ability to make their own choices based on the world around them. They decide where to eat or who to talk to and what they say. They sleep, go to church, and even steal items, all based on their individual characteristics. Full facial animations and lip-synching, combined with full speech for all dialog, allows NPCs to come to life like never before. [Bethesda]",94,82,2006,False,M,Bethesda Softworks,[Role-Playing],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
19,Grim Fandango,"Something's rotten in the Land of Dead and you're being played for a sucker.  Meet Manny Calavera, travel agent at the Department of Death. He sells luxury packages to souls on their four-year journey to eternal rest. But there's trouble in paradise.  Help Manny untangle himself from a conspiracy that threatens his very salvation. [LucasArts]",94,91,1998,False,T,LucasArts,"[Adventure, Fantasy]",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
20,Divinity: Original Sin Enhanced Edition,"Divinity Original Sin: Enhanced Edition is a much lauded Role-Playing-Game that blends deep customization and humor with dynamic turn based combat. Either in online co-op, split-screen co-op on your TV, or even alone, take advantage of a classless RPG system to create your heroes and conquer the evils of Rivellon! Embark upon a journey with up to three companions as you bend the very fabric of time, where what seems like the case of a simple murder unravels into hours of quests facing fiendish foes, magical polymorphs, and dastardly bosses. As a Source Hunter, master the elements and use the environment to your advantage in dynamic combats mixing weather and magic to explode, poison, electrify, freeze and burn your enemies!",94,83,2015,True,M,Larian Studios Games,[Role-Playing],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
21,Diablo,"The kingdom of Khandaras has fallen into chaos. An unknown force of evil has swept across the land. Plunging it nto civil war and terrorizing the populace. A mad king, his missing son, and a mysterious archbishop are all pieces to the puzzle that faces you. You have journeyed to the source of the evil. The town of Tristram. Now inhabited by only a handful of survivors. The catherdal there is buildt over the ruins of an ancient monastary, and now eerie lights and sounds are heard echoing through its abandoned halls. Perhaps the answer lies withing the remains of a forgotten past... Diablo invites you to enter a world of dark gothic fantasy. Play as a brave warrior, cunning rogue or mysterious sorceror. As you venture deeper into the labyrinth, you'll discover weapons, armor, and magical treasures, and develop your character's skills and abilities. [Blizzard]",94,86,1996,True,M,Blizzard Entertainment,[Role-Playing],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
22,Sid Meier's Civilization IV,"Faster-Paced Fun - Gameplay has been streamlined for a tighter, faster, and more compelling experience.Greater Accessibility and Ease of Play - An easy-to-use interface will be immediately familiar to RTS and action game players, and newcomers to the series will be able to jump in and play. Tech Tree - Flexible Tech tree allows players more strategic choices for developing their civilizations along unique paths. More Civs, Units, and Improvements to enhance and grow your empire. Multiplayer -LAN, Internet, PBEM, and Persistent Turn-Based Server (PTBS) offer players all-new strategies and ways to play when competing or cooperating with live opponents. Team Play - Whether playing multiplayer or single player, team play offers a new way of setting locked alliances that result in shared wonder effects, visibility, unit trading, and shared territory that delivers a plethora of new strategic and tactical options. Civ IV comes to life! - Beautiful 3D world with dozens of fully animated units (including culturally unique units), and totally customizable armies. Cities and wonders will appear on the map. Wonder movies are back! [2K Games]",94,82,2005,True,E10+,Firaxis Games,[Strategy],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
23,The Witcher 3: Wild Hunt,"With the Empire attacking the Kingdoms of the North and the Wild Hunt, a cavalcade of ghastly riders,  breathing down your neck, the only way to survive is to fight back. As Geralt of Rivia, a master swordsman and monster hunter, leave none of your enemies standing. Explore a gigantic open world, slay beasts and decide the fates of whole communities with your actions, all in a genuine next generation format.",93,91,2015,False,M,CD Projekt Red Studio,[Role-Playing],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
24,Company of Heroes,"A real-time strategy game set in World War II, Company of Heroes brings to life, in full cinematic detail, the greatest war mankind has ever known. Company of Heroes is built on Relic's next-generation Essence Engine and also utilizes the Havok Physics engine, delivering cinematic visual detail in a world completely driven by realistic physics. Gamers will experience the journey of the brave men of Able Company in a deep single-player campaign that begins with the invasion of Normandy through their fight across Europe, all set against the most dynamic battlefield ever seen in a game. Company of Heroes' completely destructable environment means no two battles ever play out in the same way. Advanced squad AI delivers startling new realism and responsiveness, bringing soldiers to life as they interact with the environment and execute advanced squad tactics to eliminate the opposition forces. [THQ]",93,87,2006,True,M,Relic,[Strategy],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25,Tetris Effect: Connected,"Tetris® Effect: Connected adds an all-new robust multiplayer expansion to the huge variety of addictive and innovative single-player modes that Tetris Effect is known for with all-new co-op and competitive online and local multiplayer modes. Tetris Effect is Tetris® like you've never seen it, or heard it, or felt it before—an incredibly addictive, unique, and breathtakingly gorgeous reinvention of one of the most popular puzzle games of all time, from the people who brought you the award-winning Rez Infinite and legendary puzzle game Lumines. Music, backgrounds, sounds, special effects—everything, down to the Tetris pieces themselves, pulse, dance, shimmer, and explode in perfect sync with how you're playing, making any of the game's 30+ stages and 10+ modes something you'll want to experience over and over again. A challenge for the mind and a feast for all the senses, Tetris Effect: Connected is the perfect excuse to play Tetris again... and again...and again, and again, and again and again and again and again and again and again and... Game leverages Smart Delivery allowing access to both the Xbox One title and the Xbox Series X|S title when available.",93,76,2020,True,E,Monstars Inc.,[Puzzle],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26,Half-Life: Alyx,"Half-Life: Alyx is Valve's VR return to the Half-Life series. It's the story of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Playing as Alyx Vance, you are humanity's only chance for survival. The Combine's control of the planet since the Black Mesa incident has only strengthened as they corral the remaining population in cities. Among them are some of Earth's greatest scientists: you and your father, Dr. Eli Vance. As founders of a fledgling resistance, you've continued your clandestine scientific activityperforming critical research, and building invaluable tools for the few humans brave enough to defy the Combine. Every day, you learn more about your enemy, and every day you work toward finding a weakness. ABOUT GAMEPLAY IN VR: Valve's return to the Half-Life universe that started it all was built from the ground up for virtual reality. VR was built to enable the gameplay that sits at the heart of Half-Life. Immerse yourself in deep environmental interactions, puzzle solving, world exploration, and visceral combat. Lean to aim around a broken wall and under a Barnacle to make an impossible shot. Rummage through shelves to find a healing syringe and some shotgun shells. Manipulate tools to hack alien interfaces. Toss a bottle through a window to distract an enemy. Rip a Headcrab off your face and throw it at a Combine soldier. Extra content for Index ownersCustomers who have purchased Valve Index hardware by the end of 2019 will have access to unique bonuses starting early next year: * Explore environments from Half-Life: Alyx in your SteamVR Home space* Alternate gun skins to embellish Alyx's arsenal* Special Half-Life: Alyx-themed content for Counter-Strike: Global Offensive and Dota 2 Community-built environments * A set of Source 2 tools for building new environments will ship with the game, enabling any player to build and contribute new environments for the community to enjoy. Hammer, Valve's level authoring tool, has been updated with all of the game's virtual reality gameplay tools and components.",93,92,2020,False,E,Valve Software,"[Shooter, Action, Arcade]",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
27,Divinity: Original Sin II,"Master deep, tactical combat. Join up to 3 other players - but know that only one of you will have the chance to become a God. ",93,88,2017,True,E,Larian Studios Games,[Role-Playing],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
28,Unreal Tournament 2004,"Reload, rev up and ride out. The new Tournament is faster, higher and meaner. Land and air based vehicles take combat to a new level; while an arsenal of new weaponry, daunting arenas and battlefields and the challenge of the Assault and Onslaught modes make the gladiator blood sport of the future a brand new experience. Buckle up; it?s gonna be one hell of a ride!  [Atari]",93,88,2004,True,M,Epic Games,"[Sci-Fi, Shooter, Action, Arcade]",1,0,1,0,0,0,0,0,0,0,1,1,0,0,0
29,Starcraft II: Wings of Liberty,"StarCraft II continues the epic saga of the Protoss, Terran, and Zerg. These three distinct and powerful races clash once again in the fast-paced real-time strategy sequel to the legendary original, StarCraft. Legions of veteran, upgraded, and brand-new unit types do battle across the galaxy, as each faction struggles for survival. Featuring a unique single-player campaign that picks up where StarCraft: Brood War left off, StarCraft II presents a cast of new heroes and familiar faces in an edgy sci-fi story filled with adventure and intrigue. In addition, Blizzard again offers unparalleled online play through Battle.net, the company's world-renowned gaming service, with several enhancements and new features to make StarCraft II the ultimate competitive real-time strategy game. Features fast-paced, hard-hitting, tightly balanced competitive real-time strategy gameplay that recaptures and improves on the magic of the original game. New units and gameplay mechanics further distinguish each race. Vibrant new 3D-graphics engine with support for dazzling visual effects and massive unit and army sizes. Full map-making and scripting tools to give players incredible freedom in customizing and personalizing their gameplay experience. [Blizzard]",93,83,2010,True,T,Blizzard Entertainment,"[Strategy, Sci-Fi]",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
30,Minecraft,"The game involves players creating and destroying various types of blocks in a three dimensional environment. The player takes an avatar that can destroy or create blocks, forming fantastic structures, creations and artwork across the various multiplayer servers in multiple game modes.",93,81,2011,True,E10+,Mojang AB,"[Adventure, Fantasy]",0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
31,Red Dead Redemption 2,"America, 1899. The end of the wild west era has begun as lawmen hunt down the last remaining outlaw gangs. Those who will not surrender or succumb are killed.After a robbery goes badly wrong in the western town of Blackwater, Arthur Morgan and the Van der Linde gang are forced to flee. With federal agents and the best bounty hunters in the nation massing on their heels, the gang must rob, steal and fight their way across the rugged heartland of America in order to survive. As deepening internal divisions threaten to tear the gang apart, Arthur must make a choice between his own ideals and loyalty to the gang who raised him.From the creators of Grand Theft Auto V and Red Dead Redemption, Red Dead Redemption 2 is an epic tale of life in America at the dawn of the modern age.",93,65,2019,True,M,Rockstar Games,[Open-World],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
32,Homeworld,"Deported to a harsh desert world, exiles have struggled for three thousand years to regain the stars. Now it's up to you to guide them home through a brutal empire bent on annihilation. Homeworld boasts amazing ship graphics and gorgeous deep-space vistas, a unique command and navigation interface and white-knuckle real-time strategy. [Sierra]",93,88,1999,True,E,Relic,"[Strategy, Sci-Fi]",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
33,Grand Theft Auto III,"The PC version features enhanced 3D audio. Environmentally scaled and referenced from the player's perspective. Create your own customizable Liberty City radio station, using the built-in mp3 player. State-of-the art visuals utilizing the latest PC hardware render the city more beautifully than ever in 32 bit color. The skinnable player character enables fans to create and upload their own skin textures and to use a scanned-in photo to play as themselves. [Rockstar]",93,81,2002,False,M,DMA Design,[Open-World],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
34,Beat Saber,"Beat Saber is a VR rhythm game where your goal is to slash the beats which perfectly fit into precisely handcrafted music.",93,85,2019,False,E,Hyperbolic Magnetism,[Action],1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Star Wars: Knights of the Old Republic,"Engage in this saga set in the Golden Age of the Republic - over 4,000 years before the first Star Wars film, when both Jedi and Sith number in the thousands. With the Galaxy reeling from a recent conflict with the Dark Lords, the ongoing battle between the Jedi and the Sith rages on. Your actions determine the outcome of this colossal galactic war - and your destiny as a Jedi. [LucasArts]",93,90,2003,False,T,BioWare,[Role-Playing],0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
36,World of Warcraft,"Four years have passed since the aftermath of Warcraft III: Reign of Chaos, and a great tension now smolders throughout the ravaged world of Azeroth. As the battle-worn races begin to rebuild their shattered kingdoms, new threats, both ancient and ominous, arise to plague the world once again. World of Warcraft is an online role-playing experience set in the award-winning Warcraft universe. Players assume the roles of Warcraft heroes as they explore, adventure, and quest across a vast world. Being ""Massively Multiplayer,"" World of Warcraft allows thousands of players to interact within the same world. Whether adventuring together or fighting against each other in epic battles, players will form friendships, forge alliances, and compete with enemies for power and glory. A dedicated live team will create a constant stream of new adventures to undertake, lands to explore, and monsters to vanquish. This content ensures that the game will never be the same from month to month, and will continue to offer new challenges and adventures for years to come. [Blizzard Entertainment]",93,74,2004,True,T,Blizzard Entertainment,"[Fantasy, Role-Playing]",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
37,Grand Theft Auto: San Andreas,"Five years ago Carl Johnson escaped from the pressures of life in Los Santos, San Andreas... a city tearing itself apart with gang trouble, drugs and corruption. Where filmstars and millionaires do their best to avoid the dealers and gangbangers. Now, it's the early 90s. Carl's got to go home. His mother has been murdered, his family has fallen apart and his childhood friends are all heading towards disaster. On his return to the neighborhood, a couple of corrupt cops frame him for homicide. CJ is forced on a journey that takes him across the entire state of San Andreas, to save his family and to take control of the streets. [Rockstar]",93,89,2005,False,M,Rockstar North,[Open-World],0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
38,Call of Duty 4: Modern Warfare,"As Call of Duty 4: Modern Warfare's single player campaign unfolds, the player is introduced to new gameplay at every turn – one moment you are fast-roping from your Black Hawk helicopter after storming into the war zone with an armada of choppers, the next you are a sniper, under concealment, in a Ghillie suit miles behind enemy lines, the next you are engaging hostiles from an AC-130 gunship thousands of feet above the battlefield. Mixed with explosive action, Call of Duty 4: Modern Warfare also delivers special effects, including use of depth of field, rim-lighting, character self-shadowing, real time post-processing, texture streaming as well as physics-enabled effects. Infinity Ward deployed a dedicated team from the start to deliver a new level of depth to multiplayer. Building on the hit ""Call of Duty 2"" online experience, Call of Duty 4: Modern Warfare's new multiplayer provides the community an addictive and accessible experience to gamers of all levels. [Activision]",92,85,2007,True,M,Infinity Ward,"[Shooter, Action, Arcade]",1,0,1,0,0,0,0,0,0,0,0,1,0,0,0
39,Warcraft III: Reign of Chaos,"[Metacritic's 2002 PC Game of the Year] It has been nearly fifteen years since the war between the orcs and humans ended. An uneasy peace settled over the land while, for years, the drums of war were silent. Yet the kingdoms of men grew complacent in their victory - and slowly, the defeated orcish clans regrouped under the banner of a new visionary leader. Now a darker shadow has fallen over the world, threatening to extinguish all life - all hope. The drums of war play upon the winds once again - rising urgently towards the inevitable hour when the skies will rain fire - and the world will tremble before the coming of the Burning Legion. The Day of Judgment has come... [Blizzard]",92,92,2002,True,T,Blizzard Entertainment,"[Strategy, Fantasy]",0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
40,Sid Meier's Gettysburg!,"Experience victory in Sid Meier's Gettysburg! It's the most engrossing and sophisticated real-time strategy game ever. In a stunning 3D battlefield, you plan the tactics, lead the troops, and take history into your own hands. Attack from the trees to protect your brigade,rally around a General for a quicker recovery, entrench your troops as your cannons blast the hillside, and much, much more with just a click of the mouse! Complete multiplayer support via internet, LAN, modem and serial link. [Firaxis]",92,74,1997,True,K-A,Firaxis Games,[Strategy],0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
41,World Soccer Winning Eleven 7 International,"Winning Eleven 7 International features 100 teams, 21 stadiums, new player models and key additions to the Master League. Winning Eleven 7 also utilizes a custom designed engine that allows for great flexibility and customization. Upon entering a match, players will find incredibly masterful gameplay, beautifully rendered stadiums and picture-perfect player models. While on the field, players will experience true-to-life gameplay, with carefully tuned A.I., realistic pace and balance. [Konami]",92,70,2004,True,E,KCET,[Sports],0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
42,Team Fortress 2,"Team Fortress 2 (TF2) is the sequel to the game that put class-based, multiplayer team warfare on the map. TF2 delivers new gametypes, a signature art style powered by Valve’s next generation animation technology, persistent player statistics, and more. Unlike other ""class-based"" games that offer a variety of combat classes only, Team Fortress 2 packs a wild variety of classes which provide a broad range of tactical abilities and personalities, and lend themselves to a variety of player skills. Play as the flame-throwing Pyro, the room clearing Heavy, or the Spy, a master of disguises. Other classes include: Scout, Sniper, Medic, Engineer, Demoman, or Soldier. TF2 features the most advanced graphics of any Source-based game released to date – and the most exciting class-based action ever created. [Valve]",92,90,2007,True,M,Valve Software,"[Shooter, Action]",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
43,System Shock 2,"Like System Shock 1, there will be persistent levels (i.e., drop an item on one level, and you could go back later to retrieve it), gameplay elements like logs, inventory, skills, persistent world, leaning, hacking, rpg elements, multiple weapons and enemies, and a compelling storyline. Unlike most other first person shooters, the purpose of System Shock was not to kill everything in sight; nor was it a ""find the key to move onto the next level"" game. The plot was always present, but not so confining as in traditional shooters - there was almost always more than one task to accomplish. Levels were realistically designed and had logical reasons behind them. It is the principle of System Shock 2 to continue this game design. [sshock2.com]",92,91,1999,True,M,Looking Glass Studios,"[Survival, Sci-Fi]",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
